transaction_id,sender_id,receiver_id,amount,timestamp
TXN_05710,ACC_USER_324,ACC_AMAZON,349.07,2026-02-19 06:51:00
TXN_05012,ACC_USER_820,ACC_WALMART,257.5,2026-02-18 18:23:00
TXN_00455,ACC_KINGPIN_1,ACC_DROP_1_20,702.35,2026-02-19 00:11:00
TXN_07115,ACC_USER_183,ACC_UBER,235.47,2026-02-18 13:28:00
TXN_03896,ACC_USER_1859,ACC_UBER,488.03,2026-02-18 14:41:00
TXN_04775,ACC_USER_1433,ACC_AMAZON,61.99,2026-02-18 10:20:00
TXN_01769,ACC_USER_190,ACC_AMAZON,441.33,2026-02-19 03:36:00
TXN_04781,ACC_USER_304,ACC_STARBUCKS,135.57,2026-02-18 16:44:00
TXN_01576,ACC_USER_298,ACC_USER_869,436.73,2026-02-18 19:56:00
TXN_07601,ACC_USER_422,ACC_USER_828,159.4,2026-02-18 23:25:00
TXN_01733,ACC_USER_417,ACC_NETFLIX,346.27,2026-02-18 13:09:00
TXN_08101,ACC_CORP_PAYROLL_4,ACC_USER_653,2783.34,2026-02-18 10:19:00
TXN_00481,ACC_KINGPIN_2,ACC_DROP_2_8,1969.31,2026-02-18 11:37:00
TXN_04413,ACC_CORP_PAYROLL_1,ACC_USER_1785,4888.06,2026-02-19 07:58:00
TXN_02717,ACC_USER_1174,ACC_USER_1708,76.32,2026-02-18 15:18:00
TXN_00583,ACC_USER_1924,ACC_AMAZON,356.28,2026-02-19 05:02:00
TXN_05318,ACC_USER_1656,ACC_USER_1618,774.37,2026-02-18 10:08:00
TXN_07940,ACC_USER_1635,ACC_STARBUCKS,96.76,2026-02-19 00:34:00
TXN_07274,ACC_USER_1811,ACC_AMAZON,392.77,2026-02-18 09:29:00
TXN_02837,ACC_USER_369,ACC_NETFLIX,367.36,2026-02-19 02:43:00
TXN_01022,ACC_USER_391,ACC_TARGET,361.37,2026-02-18 10:59:00
TXN_04106,ACC_USER_49,ACC_UBER,354.62,2026-02-19 04:34:00
TXN_00612,ACC_USER_1341,ACC_TARGET,12.16,2026-02-18 14:12:00
TXN_09997,ACC_USER_998,ACC_TARGET,481.16,2026-02-18 19:15:00
TXN_09259,ACC_USER_1837,ACC_USER_42,641.31,2026-02-18 19:27:00
TXN_04990,ACC_USER_3,ACC_TARGET,479.72,2026-02-18 16:41:00
TXN_04422,ACC_CORP_PAYROLL_5,ACC_USER_1113,2375.81,2026-02-18 14:56:00
TXN_02829,ACC_USER_652,ACC_TARGET,107.8,2026-02-19 06:30:00
TXN_02823,ACC_USER_518,ACC_STARBUCKS,316.42,2026-02-19 06:42:00
TXN_00691,ACC_USER_1838,ACC_STARBUCKS,286.62,2026-02-18 16:31:00
TXN_00467,ACC_KINGPIN_1,ACC_DROP_1_32,888.9,2026-02-18 10:14:00
TXN_08760,ACC_USER_1564,ACC_WALMART,91.26,2026-02-19 03:49:00
TXN_06212,ACC_USER_33,ACC_WALMART,165.72,2026-02-18 23:15:00
TXN_08687,ACC_USER_755,ACC_USER_1209,862.01,2026-02-19 08:38:00
TXN_00585,ACC_USER_934,ACC_UBER,290.33,2026-02-18 21:30:00
TXN_00319,ACC_MULE_26,ACC_SINK_26,30344.22,2026-02-18 14:55:00
TXN_06257,ACC_USER_1162,ACC_NETFLIX,269.27,2026-02-18 15:23:00
TXN_00686,ACC_USER_1126,ACC_UBER,175.61,2026-02-18 10:52:00
TXN_01832,ACC_USER_491,ACC_USER_882,869.67,2026-02-18 20:33:00
TXN_06281,ACC_USER_1838,ACC_WALMART,396.29,2026-02-18 13:31:00
TXN_05729,ACC_USER_945,ACC_USER_433,863.31,2026-02-18 13:41:00
TXN_07492,ACC_USER_87,ACC_STARBUCKS,492.79,2026-02-19 02:17:00
TXN_09742,ACC_USER_1055,ACC_NETFLIX,62.39,2026-02-18 16:11:00
TXN_07425,ACC_USER_1743,ACC_UBER,478.62,2026-02-18 12:03:00
TXN_07366,ACC_USER_331,ACC_USER_81,346.24,2026-02-18 13:42:00
TXN_03890,ACC_USER_503,ACC_UBER,160.75,2026-02-19 00:50:00
TXN_08039,ACC_USER_1817,ACC_USER_1933,201.42,2026-02-19 03:55:00
TXN_08325,ACC_USER_413,ACC_STARBUCKS,184.75,2026-02-18 13:25:00
TXN_03062,ACC_USER_614,ACC_AMAZON,470.6,2026-02-18 12:44:00
TXN_02344,ACC_USER_1859,ACC_AMAZON,466.13,2026-02-18 20:54:00
TXN_00808,ACC_USER_1429,ACC_NETFLIX,372.34,2026-02-19 05:36:00
TXN_05953,ACC_CORP_PAYROLL_3,ACC_USER_859,2204.64,2026-02-19 07:01:00
TXN_06371,ACC_USER_1496,ACC_STARBUCKS,105.79,2026-02-18 14:19:00
TXN_09523,ACC_USER_1659,ACC_USER_683,115.75,2026-02-18 12:24:00
TXN_04996,ACC_CORP_PAYROLL_3,ACC_USER_1634,2309.05,2026-02-18 19:31:00
TXN_02868,ACC_USER_914,ACC_WALMART,175.38,2026-02-18 15:59:00
TXN_00046,ACC_SMURF_3_5,ACC_STRUCT_AGG_3,2808.8,2026-02-18 14:56:00
TXN_04708,ACC_CORP_PAYROLL_4,ACC_USER_1156,2288.2,2026-02-18 12:51:00
TXN_07766,ACC_USER_63,ACC_NETFLIX,402.93,2026-02-18 12:27:00
TXN_02721,ACC_USER_29,ACC_UBER,282.41,2026-02-19 01:11:00
